Username,Review Text,Likes,Date,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data,Sentiment
@Soldier64738,Kreatornya sendiri sampai hiatus hanya karena si Oji,0,2025-07-06T07:25:43Z,Kreatornya sendiri sampai hiatus hanya karena si Oji,kreatornya sendiri sampai hiatus hanya karena si oji,kreatornya sendiri sampai hiatus hanya karena sih oji,"['kreatornya', 'sendiri', 'sampai', 'hiatus', 'hanya', 'karena', 'sih', 'oji']","['kreatornya', 'hiatus', 'sih', 'oji']",kreator hiatus sih oji,Negatif
@pencintakeindahan3406,Yoooo haram,0,2025-07-06T07:17:17Z,Yoooo haram,yoooo haram,yoooo haram,"['yoooo', 'haram']","['yoooo', 'haram']",yoooo haram,Netral
@Car-and-shot,Cuk balok,0,2025-07-06T07:15:03Z,Cuk balok,cuk balok,cuk balok,"['cuk', 'balok']","['cuk', 'balok']",cuk balok,Netral
@mahiiruuchaan,Ah normal inimah😂,0,2025-07-06T07:12:16Z,Ah normal inimah,ah normal inimah,ah normal inimah,"['ah', 'normal', 'inimah']","['ah', 'normal', 'inimah']",ah normal inimah,Positif
@rizwanmaulana5766,Namanya jg wibu ya gitu kalo ga cabul ya stress,0,2025-07-06T07:00:18Z,Namanya jg wibu ya gitu kalo ga cabul ya stress,namanya jg wibu ya gitu kalo ga cabul ya stress,namanya juga wibu ya begitu kalau tidak cabul ya stres,"['namanya', 'juga', 'wibu', 'ya', 'begitu', 'kalau', 'tidak', 'cabul', 'ya', 'stres']","['namanya', 'wibu', 'ya', 'cabul', 'ya', 'stres']",nama wibu ya cabul ya stres,Netral
@Dimas.ahmad_muzaki.07,"Kayaknya ODGJ masih mending ketimbang Oji, hell nah ☠️☠️",0,2025-07-06T06:45:16Z,Kayaknya ODGJ masih mending ketimbang Oji hell nah ,kayaknya odgj masih mending ketimbang oji hell nah ,kayaknya odgj masih mending ketimbang oji hell nah,"['kayaknya', 'odgj', 'masih', 'mending', 'ketimbang', 'oji', 'hell', 'nah']","['kayaknya', 'odgj', 'mending', 'ketimbang', 'oji', 'hell']",kayak odgj mending ketimbang oji hell,Negatif
@Newgate_N,Ban roblox. 😊,0,2025-07-06T06:25:01Z,Ban roblox ,ban roblox ,ban roblox,"['ban', 'roblox']","['ban', 'roblox']",ban roblox,Netral
@Wahyu-v8o,Oji wahyudi,0,2025-07-06T06:24:58Z,Oji wahyudi,oji wahyudi,oji wahyudi,"['oji', 'wahyudi']","['oji', 'wahyudi']",oji wahyudi,Netral
@DarleloDarlelo,oji wahyudi ingin menikah dengan karakter Roblox 😂😂😂😂😂😂😂,3,2025-07-06T05:38:31Z,oji wahyudi ingin menikah dengan karakter Roblox ,oji wahyudi ingin menikah dengan karakter roblox ,oji wahyudi ingin menikah dengan karakter roblox,"['oji', 'wahyudi', 'ingin', 'menikah', 'dengan', 'karakter', 'roblox']","['oji', 'wahyudi', 'menikah', 'karakter', 'roblox']",oji wahyudi meni karakter roblox,Netral
@zhym_sweetluvv,meanwhile gw cwe ava cwo🤭🤭,1,2025-07-06T05:31:51Z,meanwhile gw cwe ava cwo,meanwhile gw cwe ava cwo,meanwhile gue cewek ava cowok,"['meanwhile', 'gue', 'cewek', 'ava', 'cowok']","['meanwhile', 'gue', 'cewek', 'ava', 'cowok']",meanwhile gue cewek ava cowok,Netral
@SUPERBANDBIKINIBOTTOM,Apalah cik birahi sama balok,0,2025-07-06T05:03:49Z,Apalah cik birahi sama balok,apalah cik birahi sama balok,apalah cik birahi sama balok,"['apalah', 'cik', 'birahi', 'sama', 'balok']","['apalah', 'cik', 'birahi', 'balok']",apa cik birah balok,Negatif
@keonggondang989,"Lah jaman gw dulu sama aja, bedanya low poly 🤣🤣",0,2025-07-06T04:50:06Z,Lah jaman gw dulu sama aja bedanya low poly ,lah jaman gw dulu sama aja bedanya low poly ,lah jaman gue dulu sama saja bedanya low poly,"['lah', 'jaman', 'gue', 'dulu', 'sama', 'saja', 'bedanya', 'low', 'poly']","['jaman', 'gue', 'bedanya', 'low', 'poly']",jaman gue beda low poly,Negatif
@nazxwa,Pas aku liat akun tik tok nya kok Dikit🗿,0,2025-07-06T04:00:29Z,Pas aku liat akun tik tok nya kok Dikit,pas aku liat akun tik tok nya kok dikit,pas aku lihat akun tik tok ya kok dikit,"['pas', 'aku', 'lihat', 'akun', 'tik', 'tok', 'ya', 'kok', 'dikit']","['pas', 'lihat', 'akun', 'tik', 'tok', 'ya', 'dikit']",pas lihat akun tik tok ya dikit,Positif
@AkiraApgan,Wahyudi wahyudi😭,0,2025-07-06T03:26:36Z,Wahyudi wahyudi,wahyudi wahyudi,wahyudi wahyudi,"['wahyudi', 'wahyudi']","['wahyudi', 'wahyudi']",wahyudi wahyudi,Netral
@feirx038,diaitusus di roblox lu juga gw ada tau,0,2025-07-06T01:33:22Z,diaitusus di roblox lu juga gw ada tau,diaitusus di roblox lu juga gw ada tau,diaitusus di roblox kamu juga gue ada tau,"['diaitusus', 'di', 'roblox', 'kamu', 'juga', 'gue', 'ada', 'tau']","['diaitusus', 'roblox', 'gue', 'tau']",diaitusus roblox gue tau,Negatif
@feirx038,😠😠😠😠😠😠dia itu sus di roblox lu,0,2025-07-06T01:32:08Z,dia itu sus di roblox lu,dia itu sus di roblox lu,dia itu sus di roblox kamu,"['dia', 'itu', 'sus', 'di', 'roblox', 'kamu']","['sus', 'roblox']",sus roblox,Netral
@feirx038,sus!!😠,0,2025-07-06T01:30:53Z,sus,sus,sus,['sus'],['sus'],sus,Netral
@tuyulhijau123,Roblox viral karena gag,0,2025-07-06T01:21:00Z,Roblox viral karena gag,roblox viral karena gag,roblox viral karena tidak,"['roblox', 'viral', 'karena', 'tidak']","['roblox', 'viral']",roblox viral,Netral
@shovartube,"Ah normal itumah, temen gw gambar muka di bola barunya malah dibuat jadi istri🗿🗿",0,2025-07-06T00:37:50Z,Ah normal itumah temen gw gambar muka di bola barunya malah dibuat jadi istri,ah normal itumah temen gw gambar muka di bola barunya malah dibuat jadi istri,ah normal itumah teman gue gambar muka di bola barunya malah dibuat jadi istri,"['ah', 'normal', 'itumah', 'teman', 'gue', 'gambar', 'muka', 'di', 'bola', 'barunya', 'malah', 'dibuat', 'jadi', 'istri']","['ah', 'normal', 'itumah', 'teman', 'gue', 'gambar', 'muka', 'bola', 'barunya', 'istri']",ah normal itumah teman gue gambar muka bola baru istri,Positif
@Dsariqullahhh123.,nanggung banget mending lu liat hentai.,0,2025-07-05T21:43:11Z,nanggung banget mending lu liat hentai,nanggung banget mending lu liat hentai,nanggung banget mending kamu lihat hentai,"['nanggung', 'banget', 'mending', 'kamu', 'lihat', 'hentai']","['nanggung', 'banget', 'mending', 'lihat', 'hentai']",nanggung banget mending lihat hentai,Positif
@AqHR-t4d,amboiiii sodapnyoooooo,0,2025-07-05T17:29:36Z,amboiiii sodapnyoooooo,amboiiii sodapnyoooooo,amboiiii sodapnyoooooo,"['amboiiii', 'sodapnyoooooo']","['amboiiii', 'sodapnyoooooo']",amboiiii sodapnyoooooo,Netral
@HaruCh007,"Ga ngapa ngapain, ga Nyenggol malah makin rame 💀",1,2025-07-05T16:26:38Z,Ga ngapa ngapain ga Nyenggol malah makin rame ,ga ngapa ngapain ga nyenggol malah makin rame ,tidak ngapa mengapai tidak nyenggol malah makin rame,"['tidak', 'ngapa', 'mengapai', 'tidak', 'nyenggol', 'malah', 'makin', 'rame']","['ngapa', 'mengapai', 'nyenggol', 'rame']",ngapa kapai nyenggol rame,Netral
@Agus-gz1zr,Mereka ngak terselamatkan 😂😂😂😂,0,2025-07-05T15:30:51Z,Mereka ngak terselamatkan ,mereka ngak terselamatkan ,mereka tidak terselamatkan,"['mereka', 'tidak', 'terselamatkan']",['terselamatkan'],selamat,Positif
@pgwpills,"Jadi males main roblox dah, jadi game cari pacar sama caboel 👺",0,2025-07-05T15:24:28Z,Jadi males main roblox dah jadi game cari pacar sama caboel ,jadi males main roblox dah jadi game cari pacar sama caboel ,jadi malas main roblox sudah jadi game cari pacar sama caboel,"['jadi', 'malas', 'main', 'roblox', 'sudah', 'jadi', 'game', 'cari', 'pacar', 'sama', 'caboel']","['malas', 'main', 'roblox', 'game', 'cari', 'pacar', 'caboel']",malas main roblox game cari pacar caboel,Negatif
@GdeTeo,Biasa goblok,0,2025-07-05T14:46:17Z,Biasa goblok,biasa goblok,biasa goblok,"['biasa', 'goblok']",['goblok'],goblok,Negatif
@Lamka_chanel,oji Wahyudi mana tahan,0,2025-07-05T14:23:49Z,oji Wahyudi mana tahan,oji wahyudi mana tahan,oji wahyudi mana tahan,"['oji', 'wahyudi', 'mana', 'tahan']","['oji', 'wahyudi', 'tahan']",oji wahyudi tahan,Netral
@Samurai-Vvvv,Orang gila mana yang birahi ama Lego anjg,0,2025-07-05T13:04:34Z,Orang gila mana yang birahi ama Lego anjg,orang gila mana yang birahi ama lego anjg,orang gila mana yang birahi sama lego anjg,"['orang', 'gila', 'mana', 'yang', 'birahi', 'sama', 'lego', 'anjg']","['orang', 'gila', 'birahi', 'lego', 'anjg']",orang gila birah lego anjg,Negatif
@KingAbhin,Antum birahi😂,1,2025-07-05T12:47:05Z,Antum birahi,antum birahi,antum birahi,"['antum', 'birahi']","['antum', 'birahi']",antum birah,Negatif
@NugiAswanaska,Birahi sama Avatar Alin🗿,0,2025-07-05T12:28:30Z,Birahi sama Avatar Alin,birahi sama avatar alin,birahi sama avatar alin,"['birahi', 'sama', 'avatar', 'alin']","['birahi', 'avatar', 'alin']",birah avatar alin,Negatif
@BakulsembakoSugih,Gw gk pernha nonton chanel dia dan gw gk terpengaruh karena dia dan gw masuk roblox tapi karena kelihatan seru,0,2025-07-05T11:47:30Z,Gw gk pernha nonton chanel dia dan gw gk terpengaruh karena dia dan gw masuk roblox tapi karena kelihatan seru,gw gk pernha nonton chanel dia dan gw gk terpengaruh karena dia dan gw masuk roblox tapi karena kelihatan seru,gue tidak pernha menonton chanel dia dan gue tidak terpengaruh karena dia dan gue masuk roblox tapi karena kelihatan seru,"['gue', 'tidak', 'pernha', 'menonton', 'chanel', 'dia', 'dan', 'gue', 'tidak', 'terpengaruh', 'karena', 'dia', 'dan', 'gue', 'masuk', 'roblox', 'tapi', 'karena', 'kelihatan', 'seru']","['gue', 'pernha', 'menonton', 'chanel', 'gue', 'terpengaruh', 'gue', 'masuk', 'roblox', 'seru']",gue pernha tonton chanel gue pengaruh gue masuk roblox seru,Negatif
@ibnu374,anjir gw gak bisa berkata kata,0,2025-07-05T11:41:17Z,anjir gw gak bisa berkata kata,anjir gw gak bisa berkata kata,anjir gue tidak bisa berkata kata,"['anjir', 'gue', 'tidak', 'bisa', 'berkata', 'kata']","['anjir', 'gue']",anjir gue,Netral
@jimmyaditiya8279,Wkwk bocah banyakan colay ya gtu,0,2025-07-05T11:36:34Z,Wkwk bocah banyakan colay ya gtu,wkwk bocah banyakan colay ya gtu,wkwk bocah banyakan colay ya begitu,"['wkwk', 'bocah', 'banyakan', 'colay', 'ya', 'begitu']","['wkwk', 'bocah', 'banyakan', 'colay', 'ya']",wkwk bocah banyak colay ya,Positif
@Arya-z8o7x,Menurut gua mah si wahyudi yang salah si alin mah cuman berkreasi,1,2025-07-05T11:30:33Z,Menurut gua mah si wahyudi yang salah si alin mah cuman berkreasi,menurut gua mah si wahyudi yang salah si alin mah cuman berkreasi,menurut gua mah sih wahyudi yang salah sih alin mah cuman berkreasi,"['menurut', 'gua', 'mah', 'sih', 'wahyudi', 'yang', 'salah', 'sih', 'alin', 'mah', 'cuman', 'berkreasi']","['gua', 'mah', 'sih', 'wahyudi', 'salah', 'sih', 'alin', 'mah', 'cuman', 'berkreasi']",gua mah sih wahyudi salah sih alin mah cuman kreasi,Negatif
@RafliGM,Itu udah gak normal bg itu udah ganguan jiwa,0,2025-07-05T11:09:01Z,Itu udah gak normal bg itu udah ganguan jiwa,itu udah gak normal bg itu udah ganguan jiwa,itu sudah tidak normal bang itu sudah ganguan jiwa,"['itu', 'sudah', 'tidak', 'normal', 'bang', 'itu', 'sudah', 'ganguan', 'jiwa']","['normal', 'bang', 'ganguan', 'jiwa']",normal bang ganguan jiwa,Positif
@S_Memer89,Fomo dasar orang orang menyedihkan ha punya pasangan,0,2025-07-05T10:51:52Z,Fomo dasar orang orang menyedihkan ha punya pasangan,fomo dasar orang orang menyedihkan ha punya pasangan,fomo dasar orang orang menyedihkan ha punya pasangan,"['fomo', 'dasar', 'orang', 'orang', 'menyedihkan', 'ha', 'punya', 'pasangan']","['fomo', 'dasar', 'orang', 'orang', 'menyedihkan', 'ha', 'pasangan']",fomo dasar orang orang sedih ha pasang,Netral
@RealmeC11-vo2gu,Jir ada yang mau birahi sama balok kalo gw mah lebih baik Mabar blood strike nice 👍,0,2025-07-05T10:29:36Z,Jir ada yang mau birahi sama balok kalo gw mah lebih baik Mabar blood strike nice ,jir ada yang mau birahi sama balok kalo gw mah lebih baik mabar blood strike nice ,jir ada yang mau birahi sama balok kalau gue mah lebih baik mabar blood strike nice,"['jir', 'ada', 'yang', 'mau', 'birahi', 'sama', 'balok', 'kalau', 'gue', 'mah', 'lebih', 'baik', 'mabar', 'blood', 'strike', 'nice']","['jir', 'birahi', 'balok', 'gue', 'mah', 'mabar', 'blood', 'strike', 'nice']",jir birah balok gue mah mabar blood strike nice,Negatif
@SeptianTian-j7d,Roblox sekarang pada gak seru terus Sus lagi,0,2025-07-05T08:34:05Z,Roblox sekarang pada gak seru terus Sus lagi,roblox sekarang pada gak seru terus sus lagi,roblox sekarang pada tidak seru terus sus lagi,"['roblox', 'sekarang', 'pada', 'tidak', 'seru', 'terus', 'sus', 'lagi']","['roblox', 'seru', 'sus']",roblox seru sus,Netral
@RayaNurMubarok,HELL NAHH aneh aneh aja 😅,1,2025-07-05T08:18:45Z,HELL NAHH aneh aneh aja ,hell nahh aneh aneh aja ,hell nah aneh aneh saja,"['hell', 'nah', 'aneh', 'aneh', 'saja']","['hell', 'aneh', 'aneh']",hell aneh aneh,Netral
@nqtsuuuo5567,"Klo mau ava ky gini mending amin zepeto aja, roblok gim buat bocil jir",0,2025-07-05T08:04:40Z,Klo mau ava ky gini mending amin zepeto aja roblok gim buat bocil jir,klo mau ava ky gini mending amin zepeto aja roblok gim buat bocil jir,kalau mau ava kaya begini mending amin zepeto saja roblok gim buat bocil jir,"['kalau', 'mau', 'ava', 'kaya', 'begini', 'mending', 'amin', 'zepeto', 'saja', 'roblok', 'gim', 'buat', 'bocil', 'jir']","['ava', 'kaya', 'mending', 'amin', 'zepeto', 'roblok', 'gim', 'bocil', 'jir']",ava kaya mending amin zepeto roblok gim bocil jir,Negatif
@stefanuspenes5555,"Player report: lihat itu ada yg sus 

Roblox: ha itu bukan urusan ku",1,2025-07-05T07:34:17Z,"Player report lihat itu ada yg sus 

Roblox ha itu bukan urusan ku","player report lihat itu ada yg sus 

roblox ha itu bukan urusan ku",player report lihat itu ada yang sus roblox ha itu bukan urusan ku,"['player', 'report', 'lihat', 'itu', 'ada', 'yang', 'sus', 'roblox', 'ha', 'itu', 'bukan', 'urusan', 'ku']","['player', 'report', 'lihat', 'sus', 'roblox', 'ha', 'urusan', 'ku']",player report lihat sus roblox ha urus ku,Positif
@ARROYAYAN,"Yang di tutup pake warna hijau tuh Sus sam ngetod 🗿🗿🗿🗿🗿🗿
🗿🗿🗿🗿",0,2025-07-05T07:32:43Z,"Yang di tutup pake warna hijau tuh Sus sam ngetod 
","yang di tutup pake warna hijau tuh sus sam ngetod 
",yang di tutup pakai warna hijau tuh sus sama ngetod,"['yang', 'di', 'tutup', 'pakai', 'warna', 'hijau', 'tuh', 'sus', 'sama', 'ngetod']","['tutup', 'pakai', 'warna', 'hijau', 'tuh', 'sus', 'ngetod']",tutup pakai warna hijau tuh sus ngetod,Netral
@NotPostAnymore,"Char On average KU
Helm  F1 2022
baju Default Free
kalung 24K Gold dari event sama kacamata
celana Default Free :V HEHE",0,2025-07-05T07:05:40Z,"Char On average KU
Helm  F 
baju Default Free
kalung K Gold dari event sama kacamata
celana Default Free V HEHE","char on average ku
helm  f 
baju default free
kalung k gold dari event sama kacamata
celana default free v hehe",char on average ku helm f baju default free kalung ke gold dari event sama kacamata celana default free v hehe,"['char', 'on', 'average', 'ku', 'helm', 'f', 'baju', 'default', 'free', 'kalung', 'ke', 'gold', 'dari', 'event', 'sama', 'kacamata', 'celana', 'default', 'free', 'v', 'hehe']","['char', 'on', 'average', 'ku', 'helm', 'f', 'baju', 'default', 'free', 'kalung', 'gold', 'event', 'kacamata', 'celana', 'default', 'free', 'v', 'hehe']",char on average ku helm f baju default free kalung gold event kacamata celana default free v hehe,Positif
@cathrinechandranadi10,Salah yang benar dari grow a garden,0,2025-07-05T07:01:26Z,Salah yang benar dari grow a garden,salah yang benar dari grow a garden,salah yang benar dari grow a garden,"['salah', 'yang', 'benar', 'dari', 'grow', 'a', 'garden']","['salah', 'grow', 'a', 'garden']",salah grow a garden,Negatif
@ArdanArdan-t1m,Bro gw ga sus,0,2025-07-05T06:57:32Z,Bro gw ga sus,bro gw ga sus,bro gue tidak sus,"['bro', 'gue', 'tidak', 'sus']","['bro', 'gue', 'sus']",bro gue sus,Netral
@リフ期です,User redit yg suka sama mobil : ah normal ini,0,2025-07-05T06:36:10Z,User redit yg suka sama mobil  ah normal ini,user redit yg suka sama mobil  ah normal ini,user redit yang suka sama mobil ah normal ini,"['user', 'redit', 'yang', 'suka', 'sama', 'mobil', 'ah', 'normal', 'ini']","['user', 'redit', 'suka', 'mobil', 'ah', 'normal']",user redit suka mobil ah normal,Positif
@Zyland_taufik,Roblox sebenarnya game ramah cuman dimainkan sama bocah 18+ yg mikirnya udah kgk waras ya WAJAR AJA IQ INDO -10,0,2025-07-05T06:35:48Z,Roblox sebenarnya game ramah cuman dimainkan sama bocah  yg mikirnya udah kgk waras ya WAJAR AJA IQ INDO ,roblox sebenarnya game ramah cuman dimainkan sama bocah  yg mikirnya udah kgk waras ya wajar aja iq indo ,roblox sebenarnya game ramah cuman dimainkan sama bocah yang mikirnya sudah kgk waras ya wajar saja iq indonesia,"['roblox', 'sebenarnya', 'game', 'ramah', 'cuman', 'dimainkan', 'sama', 'bocah', 'yang', 'mikirnya', 'sudah', 'kgk', 'waras', 'ya', 'wajar', 'saja', 'iq', 'indonesia']","['roblox', 'game', 'ramah', 'cuman', 'dimainkan', 'bocah', 'mikirnya', 'kgk', 'waras', 'ya', 'wajar', 'iq', 'indonesia']",roblox game ramah cuman main bocah mikirnya kgk waras ya wajar iq indonesia,Positif
@Pabiangg,Game roblox dah rusak tae banyknya r63 r36 malas kalau gini main lagi,0,2025-07-05T06:29:52Z,Game roblox dah rusak tae banyknya r r malas kalau gini main lagi,game roblox dah rusak tae banyknya r r malas kalau gini main lagi,game roblox sudah rusak tae banyknya r r malas kalau begini main lagi,"['game', 'roblox', 'sudah', 'rusak', 'tae', 'banyknya', 'r', 'r', 'malas', 'kalau', 'begini', 'main', 'lagi']","['game', 'roblox', 'rusak', 'tae', 'banyknya', 'r', 'r', 'malas', 'main']",game roblox rusak tae banyknya r r malas main,Negatif
@nepaajj,"GA NORMAL ,SAMA KAYAK YG CINTA SAMA KARTUN",0,2025-07-05T06:16:28Z,GA NORMAL SAMA KAYAK YG CINTA SAMA KARTUN,ga normal sama kayak yg cinta sama kartun,tidak normal sama kayak yang cinta sama kartun,"['tidak', 'normal', 'sama', 'kayak', 'yang', 'cinta', 'sama', 'kartun']","['normal', 'kayak', 'cinta', 'kartun']",normal kayak cinta kartun,Netral
@woilah-rek,Sebenarnya orang yang sange sama karakter fiksi termasuk anime atau karakter game itu udh gila,0,2025-07-05T06:10:15Z,Sebenarnya orang yang sange sama karakter fiksi termasuk anime atau karakter game itu udh gila,sebenarnya orang yang sange sama karakter fiksi termasuk anime atau karakter game itu udh gila,sebenarnya orang yang sange sama karakter fiksi termasuk anime atau karakter game itu sudah gila,"['sebenarnya', 'orang', 'yang', 'sange', 'sama', 'karakter', 'fiksi', 'termasuk', 'anime', 'atau', 'karakter', 'game', 'itu', 'sudah', 'gila']","['orang', 'sange', 'karakter', 'fiksi', 'anime', 'karakter', 'game', 'gila']",orang sange karakter fiksi anime karakter game gila,Netral
@HAYPER_GAMERZFREEFIRE,oji oji,0,2025-07-05T06:05:06Z,oji oji,oji oji,oji oji,"['oji', 'oji']","['oji', 'oji']",oji oji,Netral
@Razornanimation,bocah ngawor,0,2025-07-05T05:19:28Z,bocah ngawor,bocah ngawor,bocah ngawor,"['bocah', 'ngawor']","['bocah', 'ngawor']",bocah ngawor,Netral
@RobbilAlfiansyah,Gue suka gila di roblox bang gak kayak itu tambah gue suka jahil,1,2025-07-05T04:49:35Z,Gue suka gila di roblox bang gak kayak itu tambah gue suka jahil,gue suka gila di roblox bang gak kayak itu tambah gue suka jahil,gue suka gila di roblox abang tidak kayak itu tambah gue suka jahil,"['gue', 'suka', 'gila', 'di', 'roblox', 'abang', 'tidak', 'kayak', 'itu', 'tambah', 'gue', 'suka', 'jahil']","['gue', 'suka', 'gila', 'roblox', 'abang', 'kayak', 'gue', 'suka', 'jahil']",gue suka gila roblox abang kayak gue suka jahil,Negatif
@thepeopleplaygroundonly13a28,Mending pakai r6 aja sih💀,0,2025-07-05T04:46:37Z,Mending pakai r aja sih,mending pakai r aja sih,mending pakai r saja sih,"['mending', 'pakai', 'r', 'saja', 'sih']","['mending', 'pakai', 'r', 'sih']",mending pakai r sih,Netral
@king1reng,Aneh si ya banyak orang yg sange sama kotak kotak (karakter Roblox),0,2025-07-05T04:46:33Z,Aneh si ya banyak orang yg sange sama kotak kotak karakter Roblox,aneh si ya banyak orang yg sange sama kotak kotak karakter roblox,aneh sih ya banyak orang yang sange sama kotak kotak karakter roblox,"['aneh', 'sih', 'ya', 'banyak', 'orang', 'yang', 'sange', 'sama', 'kotak', 'kotak', 'karakter', 'roblox']","['aneh', 'sih', 'ya', 'orang', 'sange', 'kotak', 'kotak', 'karakter', 'roblox']",aneh sih ya orang sange kotak kotak karakter roblox,Negatif
@bintangsurya,BIASANYA BAHS ANIME KALI INI BAHAS GAME,0,2025-07-05T04:22:27Z,BIASANYA BAHS ANIME KALI INI BAHAS GAME,biasanya bahs anime kali ini bahas game,biasanya bahs anime kali ini bahas game,"['biasanya', 'bahs', 'anime', 'kali', 'ini', 'bahas', 'game']","['bahs', 'anime', 'kali', 'bahas', 'game']",bahs anime kali bahas game,Positif
@fazrul_yt9032,roblox sudah bukan roblox yang kukenal lagi🗿,0,2025-07-05T04:11:29Z,roblox sudah bukan roblox yang kukenal lagi,roblox sudah bukan roblox yang kukenal lagi,roblox sudah bukan roblox yang kukenal lagi,"['roblox', 'sudah', 'bukan', 'roblox', 'yang', 'kukenal', 'lagi']","['roblox', 'roblox', 'kukenal']",roblox roblox kenal,Netral
@IlhamMC001,Aneh jir masa suka sama character🗿🗿,0,2025-07-05T04:08:16Z,Aneh jir masa suka sama character,aneh jir masa suka sama character,aneh jir masa suka sama character,"['aneh', 'jir', 'masa', 'suka', 'sama', 'character']","['aneh', 'jir', 'suka', 'character']",aneh jir suka character,Negatif
@Reflan-d7o,Definisi dari puncak fans roblox 😂,0,2025-07-05T03:41:38Z,Definisi dari puncak fans roblox ,definisi dari puncak fans roblox ,definisi dari puncak fan roblox,"['definisi', 'dari', 'puncak', 'fan', 'roblox']","['definisi', 'puncak', 'fan', 'roblox']",definisi puncak fan roblox,Netral
@darrellhendraarmy152,"Tapi inget,biasanya yang ava cewe cantik gitu ada yabg cewe beneran ada yang cowo,jai biasanya kalo masang tiktok gitu cowo nyamar,kaya temen gw dia cowo tapi pasang swnya ava cewe cakep dan itu avatar roblox dia sendiri dawg🗿",0,2025-07-05T03:27:19Z,Tapi ingetbiasanya yang ava cewe cantik gitu ada yabg cewe beneran ada yang cowojai biasanya kalo masang tiktok gitu cowo nyamarkaya temen gw dia cowo tapi pasang swnya ava cewe cakep dan itu avatar roblox dia sendiri dawg,tapi ingetbiasanya yang ava cewe cantik gitu ada yabg cewe beneran ada yang cowojai biasanya kalo masang tiktok gitu cowo nyamarkaya temen gw dia cowo tapi pasang swnya ava cewe cakep dan itu avatar roblox dia sendiri dawg,tapi ingetbiasanya yang ava cewek cantik begitu ada yabg cewek benaran ada yang cowojai biasanya kalau masang tiktok begitu cowok nyamarkaya teman gue dia cowok tapi pasang swnya ava cewek cakep dan itu avatar roblox dia sendiri dawg,"['tapi', 'ingetbiasanya', 'yang', 'ava', 'cewek', 'cantik', 'begitu', 'ada', 'yabg', 'cewek', 'benaran', 'ada', 'yang', 'cowojai', 'biasanya', 'kalau', 'masang', 'tiktok', 'begitu', 'cowok', 'nyamarkaya', 'teman', 'gue', 'dia', 'cowok', 'tapi', 'pasang', 'swnya', 'ava', 'cewek', 'cakep', 'dan', 'itu', 'avatar', 'roblox', 'dia', 'sendiri', 'dawg']","['ingetbiasanya', 'ava', 'cewek', 'cantik', 'yabg', 'cewek', 'benaran', 'cowojai', 'masang', 'tiktok', 'cowok', 'nyamarkaya', 'teman', 'gue', 'cowok', 'pasang', 'swnya', 'ava', 'cewek', 'cakep', 'avatar', 'roblox', 'dawg']",ingetbiasanya ava cewek cantik yabg cewek benar cowojai masang tiktok cowok nyamarkaya teman gue cowok pasang swnya ava cewek cakep avatar roblox dawg,Positif
@SPRINGTRAP-55,"Anda birahi sama kotak 
Cepat lah tobat oi jangan coli terus",0,2025-07-05T03:21:12Z,"Anda birahi sama kotak 
Cepat lah tobat oi jangan coli terus","anda birahi sama kotak 
cepat lah tobat oi jangan coli terus",anda birahi sama kotak cepat lah tobat oi jangan coli terus,"['anda', 'birahi', 'sama', 'kotak', 'cepat', 'lah', 'tobat', 'oi', 'jangan', 'coli', 'terus']","['birahi', 'kotak', 'cepat', 'tobat', 'oi', 'coli']",birah kotak cepat tobat oi coli,Negatif
@ArsyadMhd,Aneh + gaguan jiwa anjir suka kok sama paha kotak aduh dasar bocah ingat Roblox bukan untuk anak anak 14 kebawah,0,2025-07-05T03:00:55Z,Aneh  gaguan jiwa anjir suka kok sama paha kotak aduh dasar bocah ingat Roblox bukan untuk anak anak  kebawah,aneh  gaguan jiwa anjir suka kok sama paha kotak aduh dasar bocah ingat roblox bukan untuk anak anak  kebawah,aneh gaguan jiwa anjir suka kok sama paha kotak aduh dasar bocah ingat roblox bukan untuk anak anak kebawah,"['aneh', 'gaguan', 'jiwa', 'anjir', 'suka', 'kok', 'sama', 'paha', 'kotak', 'aduh', 'dasar', 'bocah', 'ingat', 'roblox', 'bukan', 'untuk', 'anak', 'anak', 'kebawah']","['aneh', 'gaguan', 'jiwa', 'anjir', 'suka', 'paha', 'kotak', 'aduh', 'dasar', 'bocah', 'roblox', 'anak', 'anak', 'kebawah']",aneh gagu jiwa anjir suka paha kotak aduh dasar bocah roblox anak anak bawah,Negatif
@khatrinanabilah4704,salah karna rame grow a garden,0,2025-07-05T02:52:52Z,salah karna rame grow a garden,salah karna rame grow a garden,salah karena rame grow a garden,"['salah', 'karena', 'rame', 'grow', 'a', 'garden']","['salah', 'rame', 'grow', 'a', 'garden']",salah rame grow a garden,Negatif
